"";"Ano de Referência";"Mês de Referência";"ICAO Empresa Aérea";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"ICAO Aeródromo Retorno";"Tarifa-Nominal";"Assentos"
"155";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1203,";6
"156";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1185,";4
"157";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1177,";2
"158";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1184,";2
"159";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1176,";1
"160";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1171,";2
"161";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"2034,";1
"162";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1128,";1
"163";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1158,";1
"164";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1670,";1
"165";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"1154,";1
"166";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1152,";4
"167";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1170,";2
"168";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"2025,";2
"169";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1686,";2
"170";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"1152,";3
"171";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1126,";1
"172";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1120,";3
"173";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1166,";3
"174";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1118,";1
"175";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1150,";1
"176";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1150,";2
"177";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1146,";5
"178";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1143,";4
"179";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1140,";2
"180";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1137,";3
"181";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1131,";1
"182";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1130,";3
"183";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1116,";1
"184";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1114,";1
"185";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1112,";3
"186";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1110,";1
"187";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1110,";4
"188";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1109,";3
"189";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1108,";3
"190";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1163,";2
"191";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1107,";1
"192";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"2050,";2
"193";2023;7;"AAL";"SBGL";"KMIA";"SBGR";"1030,";1
"194";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1026,";6
"195";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1025,";6
"196";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1103,";1
"197";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1100,";2
"198";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1097,";1
"199";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1069,";1
"200";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1068,";1
"201";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1019,";4
"202";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1067,";13
"203";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1066,";6
"204";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1097,";5
"205";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1096,";1
"206";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1095,";1
"207";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1090,";1
"208";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1081,";1
"209";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1065,";14
"210";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1063,";1
"211";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1050,";1
"212";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1018,";1
"213";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1047,";3
"214";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1043,";3
"215";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1038,";1
"216";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1080,";7
"217";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1076,";4
"218";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1076,";5
"219";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1070,";2
"220";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1038,";1
"221";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1015,";1
"222";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1030,";2
"223";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1010,";2
"224";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1007,";8
"225";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"997,";4
"226";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"996,";1
"227";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"988,";2
"228";2023;7;"AAL";"SBGR";"KJFK";"9999";"1080,";1
"229";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"993,";1
"230";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"956,";2
"231";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"984,";1
"232";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"983,";1
"233";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"982,";1
"234";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"977,";1
"235";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"976,";1
"236";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"974,";1
"237";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"973,";3
"238";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"970,";1
"239";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"956,";4
"240";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"954,";2
"241";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"953,";1
"242";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"952,";3
"243";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"949,";1
"244";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"948,";5
"245";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"947,";2
"246";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"988,";1
"247";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"943,";5
"248";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"969,";2
"249";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"891,";1
"250";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"967,";1
"251";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"943,";1
"252";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"966,";1
"253";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"942,";2
"254";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"890,";2
"255";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"940,";4
"256";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"886,";8
"257";2023;7;"AAL";"SBGL";"KMIA";"9999";"579,";2
"258";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"868,";1
"259";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"866,";2
"260";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"940,";9
"261";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"940,";2
"262";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"936,";1
"263";2023;7;"AAL";"SBGR";"KJFK";"9999";"583,";3
"264";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"936,";4
"265";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"935,";2
"266";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"910,";3
"267";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"910,";11
"268";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"909,";4
"269";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"908,";1
"270";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"860,";1
